id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
512831,Biryani Hazir Ho,"Arekere,Bangalore",4.5,20,300,"Biryani,Mughlai",2.12E+13,https://www.swiggy.com/restaurants/biryani-hazir-ho-jp-nagar-bangalore-512831,"Biryani Hazir Ho, 45 & 46, K No 534 Puttenahalli Blore, Kar, Bangalore South, Bangalore Urban, , Karnataka, 560078",Menu/512831.json
290339,Lo! - Low Carb and Keto Foods,"Arekere,Bangalore",4.4,500,150,"Healthy Food,Keto",2.12E+13,https://www.swiggy.com/restaurants/lo-low-carb-and-keto-foods-7th-phase-j-p-nagar-bangalore-290339,"Lo! - Low Carb and Keto Foods, No.29/3., 1st Floor,  2nd Cross, 24th Main Road,  Opp. Narayana School,  Achappa Layout, Puttenahalli,  JP Nagar, 7th Phase,  Bangalore - 560 078",Menu/290339.json
439521,Cake N Chef,"Arekere,Bangalore",4,100,200,Bakery,license,https://www.swiggy.com/restaurants/cake-n-chef-arekere-btm-bangalore-439521,"Cake N Chef, NO.16/2-13, VIJAYA BANK LAYOUT, GANGA PARAMESHWARI NAGAR KODICHIKKANAHALLI ROAD, Bannerghatta Main Rd, Gangaparameshwari Nagar, Kodichikknahalli, DUO Layout, Bilekahalli, Bengaluru, Karnataka 560076,",Menu/439521.json
559286,Sorbetto,"Arekere,Bangalore",4.7,50,300,"Desserts,Ice Cream",license,https://www.swiggy.com/restaurants/sorbetto-arekere-bangalore-559286,"Sorbetto, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore560078",Menu/559286.json
324965,CREAMS & BITES,"Arekere,Bangalore",3.9,20,250,Ice Cream,2.12E+13,https://www.swiggy.com/restaurants/creams-and-bites-arekere-arekere-bannerghatta-road-bangalore-324965,"CREAMS & BITES, NO 54/55 3RD CROSS OMKAR NAGAR AREKERE GATE BANNERGHATTA ROAD BANGALORE, Bommanahalli , B.B.M.P South, Bommanahalli , B.B.M.P South, Karnataka - 560076",Menu/324965.json
415976,Coast at JP Nagar,"Arekere,Bangalore",4.1,100,500,"Coastal,Mangalorean",1.12E+13,https://www.swiggy.com/restaurants/coast-at-jp-nagar-arekere-bangalore-415976,"Coast at JP Nagar, 35/4, Achappa Layout, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",Menu/415976.json
41315,Apsara Ice Creams,"Arekere,Bangalore",4.7,100,150,"Ice Cream,Desserts",2.12E+13,https://www.swiggy.com/restaurants/apsara-ice-creams-vijaya-bank-layout-bommanahalli-bangalore-41315,"Apsara Ice Creams, No. 1065 B, 5th Cross, Vijaya Bank Layout, Bannerghatta Road, Bangalore 560076",Menu/41315.json
417914,Lunch Wise - Meal for All,"Arekere,Bangalore",4.1,50,300,"Thalis,Maharashtrian",1.12E+13,https://www.swiggy.com/restaurants/lunch-wise-meal-for-all-arekere-bangalore-417914,"Lunch Wise - Meal for All, 59, 3rd Main, AB Road, Akshayanagara East, Akshayanagar, Bengaluru, Karnataka 560068, India",Menu/417914.json
42529,Garma Garam,"Arekere,Bangalore",4,100,250,"Biryani,Mughlai",1.12E+13,https://www.swiggy.com/restaurants/garma-garam-arekere-panduranga-nagar-bangalore-42529,"Garma Garam, Arekere, MICO Layout Main Road, Opp Vijaya Bank, Bannerghatta Road, Bangalore - 560076",Menu/42529.json
7040,Cafe Coffee Day,"Arekere,Bangalore",4.1,100,300,"Beverages,Snacks",license,https://www.swiggy.com/restaurants/cafe-coffee-day-vijaya-bank-layout-bommanahalli-bangalore-7040,"Cafe Coffee Day, 524, 60 Feet Road,Vijaya Bank LayoutOpp Police Station, Belekahalli",Menu/7040.json
